"Model","Scenario","scenario_family","economic_baseline","type"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_INDC","ADVANCE","ADVANCE_Reference","mitigation"
"AIM/CGE 2.0","ADVANCE_NoPolicy","ADVANCE","ADVANCE_Reference","baseline"
"AIM/CGE 2.0","ADVANCE_Reference","ADVANCE","ADVANCE_Reference","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","SFCM","SFCM_SSP2_Bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_Bio_2Degree","SFCM","SFCM_SSP2_Bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_Bio_Baseline","SFCM","SFCM_SSP2_Bio_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","SFCM","SFCM_SSP2_EEEI_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","SFCM","SFCM_SSP2_EEEI_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_Baseline","SFCM","SFCM_SSP2_EEEI_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","SFCM","SFCM_SSP2_LifeStyle_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_2Degree","SFCM","SFCM_SSP2_LifeStyle_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_Baseline","SFCM","SFCM_SSP2_LifeStyle_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_1p5Degree","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_2Degree","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_Ref_Baseline","SFCM","SFCM_SSP2_Ref_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_1p5Degree","SFCM","SFCM_SSP2_ST_CCS_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_2Degree","SFCM","SFCM_SSP2_ST_CCS_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_Baseline","SFCM","SFCM_SSP2_ST_CCS_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_1p5Degree","SFCM","SFCM_SSP2_ST_bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_2Degree","SFCM","SFCM_SSP2_ST_bio_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_Baseline","SFCM","SFCM_SSP2_ST_bio_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_1p5Degree","SFCM","SFCM_SSP2_ST_nuclear_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_2Degree","SFCM","SFCM_SSP2_ST_nuclear_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_Baseline","SFCM","SFCM_SSP2_ST_nuclear_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_1p5Degree","SFCM","SFCM_SSP2_ST_solar_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_2Degree","SFCM","SFCM_SSP2_ST_solar_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_Baseline","SFCM","SFCM_SSP2_ST_solar_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_1p5Degree","SFCM","SFCM_SSP2_ST_wind_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_2Degree","SFCM","SFCM_SSP2_ST_wind_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_Baseline","SFCM","SFCM_SSP2_ST_wind_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_SupTech_1p5Degree","SFCM","SFCM_SSP2_SupTech_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_SupTech_2Degree","SFCM","SFCM_SSP2_SupTech_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_SupTech_Baseline","SFCM","SFCM_SSP2_SupTech_Baseline","baseline"
"AIM/CGE 2.0","SFCM_SSP2_combined_1p5Degree","SFCM","SFCM_SSP2_combined_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_combined_2Degree","SFCM","SFCM_SSP2_combined_Baseline","mitigation"
"AIM/CGE 2.0","SFCM_SSP2_combined_Baseline","SFCM","SFCM_SSP2_combined_Baseline","baseline"
"AIM/CGE 2.0","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"AIM/CGE 2.0","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"AIM/CGE 2.0","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"AIM/CGE 2.0","SSP1-45","SSP1","SSP1-Baseline","mitigation"
"AIM/CGE 2.0","SSP1-Baseline","SSP1","SSP1-Baseline","baseline"
"AIM/CGE 2.0","SSP2-19","SSP2","SSP2-Baseline","mitigation"
"AIM/CGE 2.0","SSP2-26","SSP2","SSP2-Baseline","mitigation"
"AIM/CGE 2.0","SSP2-34","SSP2","SSP2-Baseline","mitigation"
"AIM/CGE 2.0","SSP2-45","SSP2","SSP2-Baseline","mitigation"
"AIM/CGE 2.0","SSP2-60","SSP2","SSP2-Baseline","mitigation"
"AIM/CGE 2.0","SSP2-Baseline","SSP2","SSP2-Baseline","baseline"
"AIM/CGE 2.0","SSP3-34","SSP3","SSP3-Baseline","mitigation"
"AIM/CGE 2.0","SSP3-45","SSP3","SSP3-Baseline","mitigation"
"AIM/CGE 2.0","SSP3-60","SSP3","SSP3-Baseline","mitigation"
"AIM/CGE 2.0","SSP3-Baseline","SSP3","SSP3-Baseline","baseline"
"AIM/CGE 2.0","SSP4-26","SSP4","SSP4-Baseline","mitigation"
"AIM/CGE 2.0","SSP4-34","SSP4","SSP4-Baseline","mitigation"
"AIM/CGE 2.0","SSP4-45","SSP4","SSP4-Baseline","mitigation"
"AIM/CGE 2.0","SSP4-Baseline","SSP4","SSP4-Baseline","baseline"
"AIM/CGE 2.0","SSP5-26","SSP5","SSP5-Baseline","mitigation"
"AIM/CGE 2.0","SSP5-34","SSP5","SSP5-Baseline","mitigation"
"AIM/CGE 2.0","SSP5-45","SSP5","SSP5-Baseline","mitigation"
"AIM/CGE 2.0","SSP5-60","SSP5","SSP5-Baseline","mitigation"
"AIM/CGE 2.0","SSP5-Baseline","SSP5","SSP5-Baseline","baseline"
"AIM/CGE 2.1","CD-LINKS_INDCi","CD-LINKS","CD-LINKS_NPi","mitigation"
"AIM/CGE 2.1","CD-LINKS_NPi","CD-LINKS","CD-LINKS_NPi","baseline"
"AIM/CGE 2.1","CD-LINKS_NPi2020_1000","CD-LINKS","CD-LINKS_NPi","mitigation"
"AIM/CGE 2.1","CD-LINKS_NPi2020_1600","CD-LINKS","CD-LINKS_NPi","mitigation"
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","CD-LINKS","CD-LINKS_NPi","mitigation"
"AIM/CGE 2.1","CD-LINKS_NoPolicy","CD-LINKS","CD-LINKS_NPi","baseline"
"AIM/CGE 2.1","EMF33_Baseline","EMF33","EMF33_Baseline","baseline"
"AIM/CGE 2.1","EMF33_Med2C_cost100","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_Med2C_full","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_Med2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_Med2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_Med2C_none","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_WB2C_cost100","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_WB2C_full","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_tax_hi_full","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_tax_hi_none","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_tax_lo_full","EMF33","EMF33_Baseline","mitigation"
"AIM/CGE 2.1","EMF33_tax_lo_none","EMF33","EMF33_Baseline","mitigation"
"GCAM 4.2","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"GCAM 4.2","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"GCAM 4.2","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"GCAM 4.2","SSP1-45","SSP1","SSP1-Baseline","mitigation"
"GCAM 4.2","SSP1-Baseline","SSP1","SSP1-Baseline","baseline"
"GCAM 4.2","SSP2-19","SSP2","SSP2-Baseline","mitigation"
"GCAM 4.2","SSP2-26","SSP2","SSP2-Baseline","mitigation"
"GCAM 4.2","SSP2-34","SSP2","SSP2-Baseline","mitigation"
"GCAM 4.2","SSP2-45","SSP2","SSP2-Baseline","mitigation"
"GCAM 4.2","SSP2-60","SSP2","SSP2-Baseline","mitigation"
"GCAM 4.2","SSP2-Baseline","SSP2","SSP2-Baseline","baseline"
"GCAM 4.2","SSP3-Baseline","SSP3","SSP3-Baseline","baseline"
"GCAM 4.2","SSP4-26","SSP4","SSP4-Baseline","mitigation"
"GCAM 4.2","SSP4-34","SSP4","SSP4-Baseline","mitigation"
"GCAM 4.2","SSP4-45","SSP4","SSP4-Baseline","mitigation"
"GCAM 4.2","SSP4-60","SSP4","SSP4-Baseline","mitigation"
"GCAM 4.2","SSP4-Baseline","SSP4","SSP4-Baseline","baseline"
"GCAM 4.2","SSP5-19","SSP5","SSP5-Baseline","mitigation"
"GCAM 4.2","SSP5-26","SSP5","SSP5-Baseline","mitigation"
"GCAM 4.2","SSP5-34","SSP5","SSP5-Baseline","mitigation"
"GCAM 4.2","SSP5-45","SSP5","SSP5-Baseline","mitigation"
"GCAM 4.2","SSP5-60","SSP5","SSP5-Baseline","mitigation"
"GCAM 4.2","SSP5-Baseline","SSP5","SSP5-Baseline","baseline"
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_2020_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_2020_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_2030_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_2030_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_INDC","ADVANCE","ADVANCE_Reference","mitigation"
"IMAGE 3.0.1","ADVANCE_NoPolicy","ADVANCE","ADVANCE_Reference","baseline"
"IMAGE 3.0.1","ADVANCE_Reference","ADVANCE","ADVANCE_Reference","baseline"
"IMAGE 3.0.1","CD-LINKS_INDCi","CD-LINKS","CD-LINKS_NPi","mitigation"
"IMAGE 3.0.1","CD-LINKS_NPi","CD-LINKS","CD-LINKS_NPi","baseline"
"IMAGE 3.0.1","CD-LINKS_NPi2020_1000","CD-LINKS","CD-LINKS_NPi","mitigation"
"IMAGE 3.0.1","CD-LINKS_NPi2020_1600","CD-LINKS","CD-LINKS_NPi","mitigation"
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","CD-LINKS","CD-LINKS_NPi","mitigation"
"IMAGE 3.0.1","CD-LINKS_NoPolicy","CD-LINKS","CD-LINKS_NPi","baseline"
"IMAGE 3.0.1","IMA15-AGInt","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-Def","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-Eff","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-LiStCh","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-LoNCO2","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-Pop","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-RenElec","IMA15",NA,"mitigation"
"IMAGE 3.0.1","IMA15-TOT","IMA15",NA,"mitigation"
"IMAGE 3.0.1","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"IMAGE 3.0.1","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"IMAGE 3.0.1","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"IMAGE 3.0.1","SSP1-45","SSP1","SSP1-Baseline","mitigation"
"IMAGE 3.0.1","SSP1-Baseline","SSP1","SSP1-Baseline","baseline"
"IMAGE 3.0.1","SSP2-26","SSP2","SSP2-Baseline","mitigation"
"IMAGE 3.0.1","SSP2-34","SSP2","SSP2-Baseline","mitigation"
"IMAGE 3.0.1","SSP2-45","SSP2","SSP2-Baseline","mitigation"
"IMAGE 3.0.1","SSP2-60","SSP2","SSP2-Baseline","mitigation"
"IMAGE 3.0.1","SSP2-Baseline","SSP2","SSP2-Baseline","baseline"
"IMAGE 3.0.1","SSP3-34","SSP3","SSP3-Baseline","mitigation"
"IMAGE 3.0.1","SSP3-45","SSP3","SSP3-Baseline","mitigation"
"IMAGE 3.0.1","SSP3-60","SSP3","SSP3-Baseline","mitigation"
"IMAGE 3.0.1","SSP3-Baseline","SSP3","SSP3-Baseline","baseline"
"IMAGE 3.0.1","SSP4-26","SSP4","SSP4-Baseline","mitigation"
"IMAGE 3.0.1","SSP4-34","SSP4","SSP4-Baseline","mitigation"
"IMAGE 3.0.1","SSP4-45","SSP4","SSP4-Baseline","mitigation"
"IMAGE 3.0.1","SSP4-60","SSP4","SSP4-Baseline","mitigation"
"IMAGE 3.0.1","SSP4-Baseline","SSP4","SSP4-Baseline","baseline"
"IMAGE 3.0.1","SSP5-34","SSP5","SSP5-Baseline","mitigation"
"IMAGE 3.0.1","SSP5-45","SSP5","SSP5-Baseline","mitigation"
"IMAGE 3.0.1","SSP5-60","SSP5","SSP5-Baseline","mitigation"
"IMAGE 3.0.1","SSP5-Baseline","SSP5","SSP5-Baseline","baseline"
"IMAGE 3.0.2","EMF33_Baseline","EMF33","EMF33_Baseline","baseline"
"IMAGE 3.0.2","EMF33_Med2C_cost100","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_Med2C_full","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_Med2C_limbio","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_Med2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_Med2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_Med2C_none","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_WB2C_cost100","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_WB2C_full","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_WB2C_limbio","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_WB2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_WB2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_tax_hi_full","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_tax_hi_none","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_tax_lo_full","EMF33","EMF33_Baseline","mitigation"
"IMAGE 3.0.2","EMF33_tax_lo_none","EMF33","EMF33_Baseline","mitigation"
"MESSAGE V.3","GEA_Eff_1p5C","GEA","GEA_Eff_base","mitigation"
"MESSAGE V.3","GEA_Eff_1p5C_Delay2020","GEA","GEA_Eff_base","mitigation"
"MESSAGE V.3","GEA_Eff_2C_Delay2020","GEA","GEA_Eff_base","mitigation"
"MESSAGE V.3","GEA_Eff_AdvNCO2_1p5C","GEA","GEA_Eff_base","mitigation"
"MESSAGE V.3","GEA_Eff_base","GEA","GEA_Eff_base","baseline"
"MESSAGE V.3","GEA_Mix_1p5C_AdvNCO2_PartialDelay2020","GEA","GEA_Mix_base","mitigation"
"MESSAGE V.3","GEA_Mix_1p5C_AdvTrans_PartialDelay2020","GEA","GEA_Mix_base","mitigation"
"MESSAGE V.3","GEA_Mix_2C_AdvNCO2_PartialDelay2020","GEA","GEA_Mix_base","mitigation"
"MESSAGE V.3","GEA_Mix_2C_AdvTrans_PartialDelay2020","GEA","GEA_Mix_base","mitigation"
"MESSAGE V.3","GEA_Mix_base","GEA","GEA_Mix_base","baseline"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Med2C","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_WB2C","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_INDC","ADVANCE","ADVANCE_Reference","mitigation"
"MESSAGE-GLOBIOM 1.0","ADVANCE_NoPolicy","ADVANCE","ADVANCE_Reference","baseline"
"MESSAGE-GLOBIOM 1.0","ADVANCE_Reference","ADVANCE","ADVANCE_Reference","baseline"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Baseline","EMF33","EMF33_Baseline","baseline"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_cost100","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_full","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_limbio","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_nobeccs","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_Med2C_none","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_cost100","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_full","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_limbio","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_nofuel","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_tax_hi_full","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_tax_hi_none","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_tax_lo_full","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","EMF33_tax_lo_none","EMF33","EMF33_Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","SSP1-19","SSP1","SSP1-Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","SSP1-26","SSP1","SSP1-Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","SSP1-34","SSP1","SSP1-Baseline","mitigation"
"MESSAGE-GLOBIOM 1.0","SSP1-45","SSP1","SSP1-Baseline","mitigation"
